We Were Soldiers
Killing Zoe
Tangled
Striking Range
Movin' Too Fast
One Way Out
Marines
"""06-05"""
Puerto Vallarta Squeeze
Kill Bill: Vol. 1
Kill Bill: Vol. 2
Jackie Brown
Changes
I Witness
Special Forces
Lord of War
Fear and Loathing in Las Vegas
Black Point
The Yards
Revelation
You Kill Me
Dead Lenny
Angel Eyes
Gangs of New York
Astérix et Obélix contre César
Braveheart
The Island
Random Hearts
FBI: The Neogotiator
The Stick Up
Sacrifice
An Inconvenient Truth
Munich
Dirty Dancing 2
Coach Carter
Vertical Limit
Enough
Gone in Sixty Seconds 
S.W.A.T.
Dark Blue
Traffic
Stille Nacht
Platoon
Phone Booth
Maid in Manhattan
Road House
Van God Los 
Lek
Rules of Engagement 
Dead Man Walking 
Bad Company
Rocky Balboa
Rocky V
Rocky IV
Rocky III
Rocky II
Rocky
Apocalypto
Paid in Full 
Taking Lives
Studio 54
Home of the Brave
xXx
Interview
The Horse Whisperer
The Presidio
Behind the Camera: The Unauthorized Story of 'Charlie's Angels'  
Shaft
xXx: State of the Union
Entrapment
Backdraft
Extremities
Oesters van Nam Kee
Ellis in Glamourland 
Deep Throat
Ihaka: Blunt Instrument 
Without Evidence
Fahrenheit 9/11
"""9-11"""
Under the Tuscan Sun
Goodbye America
The Terminal 
The Shawshank Redemption
To Die For
15 Minutes
Murder on Flight 502
Joe and Max
The Last of the Mohicans
Redemption: The Stan Tookie Williams Story
Pearl Harbor
A Secret Affair
Birth
Cape Fear
Purple Rain
American History X
Memento
Eve's Bayou
One Eight Seven
Goodfellas
Little City
Pirates of the Caribbean: The Curse of the Black Pearl
Sniper 2
Honeymoon in Vegas
Wild at Heart
The Butterfly Effect
Undisputed II: Last Man Standing
Into the Wild
The Strangers
Code Name: The Cleaner
Ghost Rider
3:10 to Yuma
"Romulus, My Father"
A Guide to Recognizing Your Saints
Death Sentence
Zomerhitte
No Country for Old Men
The Last King of Scotland
Stomp the Yard 
The Kingdom
Casino Royale
We Own the Night
Untraceable
There Will Be Blood  
Trust the Man
The Happening
Into the West
In the Valley of Elah
Flyboys
Gone Baby Gone
A Mighty Heart
Exit Wounds
Fierce People
Death Proof
Reservation Road
Planet Terror
Monster
"Mariachi, El"
Mulholland Dr.
Reservoir Dogs
Once Upon a Time in America
Ben X
The Kite Runner
The Bank Job
Cleaner
Appaloosa
Quantum of Solace
Pride and Glory
Body of Lies
As it is in heaven
Springstof
Paradijs
Honey 
Chasing Papi
Excellent Cadavers
"Giovanni Falcone, l'uomo che sfidò Cosa Nostra"
The Assassination of Richard Nixon
Waist Deep
The Crimson Rivers/Les rivières pourpres
The Children of Huang Shi
Mozart and the Whale
The Boy in the Striped Pyjamas
